| Total Runtime (sec) | 60 |
| Format | 1:1 |

| Shot Number | | Camera Angle | Camera Movement | Dialogue | Character Reference | Location Reference | SFX / Audio Cue | Continuity Notes | VFX | Generation Prompt | Animation Prompt | Action |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 1 | | Extreme close-up / insert | Slow push-in | SUSAN (V.O.): I caught my fiancé wrapped around my own sister. | SusanBase; Jacob; SophiaShirt | StudyCorner (INTERIOR) | Low pulse underscore; soft room tone | Mouth closed (V.O.). Fragment tease of betrayal — faces soft-focus or partial. Warm lamp from screen-right. | Soft vignette; slight chromatic edge for clickbait hook | Fragmented intimate betrayal tease: cream-trench silhouette of a woman in a doorway (SusanBase / SusanTrenchCoat identity), out-of-focus couple in a leather armchair — a younger woman in an oversized white shirt (SophiaShirt) on a man's lap (Jacob), his arms around her waist. Warm table lamp, wooden bookshelf, evening study. Dark cinematic short-form hook frame, 1:1. | Slow push-in on the doorway silhouette as the couple stays softly blurred in the background; mouth of Susan closed for V.O.; tension builds without revealing full faces yet. | Cold-open hook: Susan's V.O. over a teasing glimpse of the betrayal. |
| 2 | | Medium close-up | Static with subtle drift | SUSAN (V.O.): Then I found out my parents had been helping her all along. They thought my life was over. | SusanBase | SideHallway (INTERIOR) | Underscore deepens | Mouth closed. Susan alone in hallway light — controlled rage under composure. | Subtle light flicker | Susan Drew (SusanBase) standing alone in a hardwood hallway with white walls and framed artwork, soft ceiling lights, evening. Composed face cracking into quiet devastation; cream silk blouse base look. Cinematic shallow depth, 1:1. | Subtle camera drift; Susan's eyes lower then harden; mouth closed for V.O.; breath hitch. | Hook continues: parents betrayal beat on Susan's face. |
| 3 | | Wide establishing | Slow crane / rise | SUSAN (V.O.): Instead, I walked to the city's most untouchable billionaire... and made the most reckless decision of my life. | SusanBase; Ethan | CitySkyline (EXTERIOR) | City night ambience under VO | Mouth closed. Susan small against glass towers; Ethan distant silhouette in penthouse light (no photoreal crowd plate). | Bright fade-white pop into title | Night city skyline with glass towers; SusanBase in cream tones walking toward a lit penthouse tower; distant figure of Ethan in a sharp black suit behind floor-to-ceiling glass. Cold blue city vs warm tower lights. Punchy short-form establishing frame, 1:1. | Slow rise revealing the tower; Susan walks screen-left toward screen-right tower; mouths closed; cut energy into title. | Hook climax: reckless decision toward Ethan. |
| 4 | | Medium close-up title beat | Slow push-in | SUSAN (V.O.): I'm Susan Drew, and this is my story. | SusanBase | JacobsDriveway (EXTERIOR) | Soft whoosh into story | Mouth closed. Direct-to-camera energy without on-screen text. Porch lights warm. | Gentle dissolve into story | Susan Drew (SusanBase) centered in evening driveway light outside a modern brick suburban house, looking into camera with resolve after devastation. Warm porch lights, trimmed hedges, blue-hour sky. No on-screen text. 1:1. | Slow push-in on Susan's eyes; mouth closed for V.O.; resolve settles on her face. | Title identification beat (spoken, no captions). |
| 5 | | Wide / medium wide | Tracking with her | | SusanTrenchCoat | JacobsDriveway (EXTERIOR) | Car door soft close; evening suburb ambience | SusanTrenchCoat wardrobe lock. Smiling, hopeful. Evening blue hour. Key light = porch. | | Modern suburban brick house, paved driveway, trimmed hedges, warm porch lights at evening. Susan (SusanTrenchCoat) in a cream double-breasted trench coat steps from a car onto the driveway, smiling with anticipation after two years abroad. Soft expectant energy. 1:1. | Tracking move following Susan as she closes the car and walks toward the porch; trench coat sways; smile brightens; no dialogue mouth movement. | Susan arrives early as a surprise at Jacob's house. |
| 6 | | Medium close-up | Tilt down then up | SUSAN (V.O.): He's going to completely lose it when he sees me. | SusanTrenchCoat | JacobsDriveway (EXTERIOR) | Soft romantic underscore | Mouth closed (V.O.). She glances down at the cream trench; secret lingerie beat stays suggestive, not explicit — coat stays closed. | | Susan (SusanTrenchCoat) on the driveway, looking down at her cream trench coat wrapped around her body with a private smile, evening porch light catching the fabric. Tasteful, suggestive, coat fully closed. Same suburban house background. 1:1. | Tilt down to the cinched trench belt then back to her smile; mouth closed for V.O.; fingers brush the coat edge. | She savors the surprise lingerie plan under the trench. |
| 7 | | Medium | Dolly forward into door | SUSAN (V.O.): Everyone expected me home tomorrow, not today. I wanted this to be a surprise. | SusanTrenchCoat | JacobsDriveway (EXTERIOR) | Soft door latch | Mouth closed. Continues from driveway into entry — same evening, same coat. | Dissolve into hallway | Susan (SusanTrenchCoat) walking up to the front door of the brick house, cream trench coat, warm porch lights, evening. She opens the door with a secret smile. 1:1. | Dolly forward as she enters; coat movement continuous; mouth closed for V.O. | She enters the house for the surprise. |
| 8 | | Medium wide | Steadicam follow | | SusanTrenchCoat | SideHallway (INTERIOR) | Soft footsteps on hardwood; quiet house | Same trench, same evening. Hopeful body language. Hallway white walls + framed art. | | Hardwood hallway with white walls, framed artwork, closed interior doors, soft warm ceiling lights. Susan (SusanTrenchCoat) walking deeper into the house toward Jacob's study, smiling to herself. Evening. 1:1. | Steadicam follows behind/beside her down the hallway; trench coat trails; anticipatory energy. | She heads for Jacob's study. |
| 9 | | Close-up | Slow push-in | SUSAN (V.O.): I'd throw open the door, drop the trench coat, and watch his jaw hit the floor. | SusanTrenchCoat | SideHallway (INTERIOR) | Soft heartbeat underscore | Mouth closed. Blush / fantasy beat on her face only — do not show explicit undress. | Soft dreamlike glow | Close-up of Susan (SusanTrenchCoat) in the hallway, blushing as she imagines the surprise, cream trench still closed, soft ceiling light, evening. Intimate short-form close-up, 1:1. | Slow push-in; she bites a smile; mouth closed for V.O.; eyes bright with anticipation. | She imagines the reveal; blushes. |
| 10 | | Medium | Halt / micro whip | SUSAN (V.O.): Who the hell is that? | SusanTrenchCoat; SophiaShirt | SideHallway (INTERIOR) | Muffled woman's laugh off-screen | Mouth closed. Susan freezes mid-step. Sound source = study ahead screen-right. | | Susan (SusanTrenchCoat) freezing mid-stride in the hardwood hallway as a woman's laugh echoes from ahead. Soft ceiling lights, evening. Shock replacing the smile. 1:1. | Camera halts with her; micro whip toward the study door direction; smile dies; mouth closed for V.O. | She hears Sophia's voice and stops. |
| 11 | | Over-shoulder / doorway | Creeping push through gap | SOPHIA: You're impossible. | SusanTrenchCoat; SophiaShirt; Jacob | StudyDoorway (INTERIOR) | Soft laugh; study room tone | Susan screen-left at door, looking screen-right into study. Door slightly open. Warm lamp spill from screen-right. Sophia lip-syncs the line. | | Wooden study door slightly open. From the hallway, Susan (SusanTrenchCoat) leans in over-shoulder. Through the gap: bookshelves, desk, leather chair, warm table lamp. Partial view of Sophia (SophiaShirt) laughing. Evening. 1:1. | Creeping push through the door gap; Sophia laughs and says the line with natural mouth movement; Susan's shoulder tense in foreground. | Susan peeks; hears Sophia tease Jacob. |
| 12 | | Extreme close-up | Static / micro push | | SusanTrenchCoat | StudyDoorway (INTERIOR) | Silence drop under underscore | Color drains — desaturated grade OK as VFX note only. Mouth closed. Eyes wide. | Subtle desaturation pulse | Extreme close-up of Susan (SusanTrenchCoat) at the study doorway, color draining from her face as she recognizes her sister's voice. Cream trench collar visible. Warm lamp spill on one cheek. 1:1. | Micro push; eyes widen; breath stops; no spoken line. | Recognition freeze — she knows that voice. |
| 13 | | Medium / reveal | Slow reveal push | | SusanTrenchCoat; SophiaShirt; Jacob | StudyCorner (INTERIOR) | Soft fabric rustle; intimate room tone | KEY REVEAL. SophiaShirt on Jacob's lap; Jacob's arms around her waist. Susan POV from doorway screen-left looking screen-right. Warm lamp screen-right. | | Study corner: leather armchair beside wooden bookshelf, decorative globe, side table, warm ambient lamp. Sophia (SophiaShirt) in an oversized white shirt sits on Jacob's lap with his arms wrapped around her waist. Intimate, damning. Evening. Susan's unseen POV. 1:1. | Slow reveal push into the couple; Sophia settles against him; Jacob's hands rest on her waist; continuous with doorway POV. | The betrayal image: sister on fiancé's lap. |
| 14 | | Close-up reverse | Handheld micro tremor | SUSAN (V.O.): No. This can't be happening. My fiancé... with my own sister? | SusanTrenchCoat | StudyDoorway (INTERIOR) | Heartbeat thump | Mouth closed. Reverse on Susan — matched eyeline looking screen-right. She cannot move. | | Close-up reverse of Susan (SusanTrenchCoat) outside the study door, devastated, unable to move, cream trench, warm spill light, evening. Matched eyeline into the room. 1:1. | Handheld micro tremor; she wants to scream but freezes; mouth closed for V.O. | She wants to burst in but can't move. |
| 15 | | Medium two-shot | Slow arc | SOPHIA: I wish Susan had never come back. | SophiaShirt; Jacob | StudyCorner (INTERIOR) | Intimate room tone | Sophia leans back against Jacob's chest. Hate in her voice. Lip-sync Sophia. Jacob screen-right support. Warm lamp screen-right. | | Sophia (SophiaShirt) leaning back against Jacob's chest in the leather armchair, oversized white shirt, warm study lamp, bookshelf and globe behind. Her expression turns cold with hate as she speaks. Evening. 1:1. | Slow arc around the armchair; Sophia leans back and delivers the line with clear mouth movement; Jacob holds her. | Sophia confesses she wishes Susan never returned. |
| 16 | | Close two-shot | Gentle push | JACOB: We'll just have to keep sneaking around. That idiot will never figure it out though. | Jacob; SophiaShirt | StudyCorner (INTERIOR) | Soft kiss forehead SFX | Jacob brushes hair behind Sophia's ear, kisses forehead, then speaks. Lip-sync Jacob. Same armchair staging. They laugh after. | | Jacob brushing a strand of hair behind Sophia's (SophiaShirt) ear and kissing her forehead in the warm study corner, leather armchair, bookshelf, evening lamp. Smug intimacy. 1:1. | Gentle push as he kisses her forehead then speaks the line with natural mouth movement; both laugh. | Jacob vows to keep sneaking; calls Susan an idiot. |
| 17 | | Medium | Motivated settle | SOPHIA: I have something to tell you! You can finally dump my freak of a sister. She won't be any use to you anymore. | SophiaShirt; Jacob | StudyCorner (INTERIOR) | Soft clap; excited energy | Sophia claps, excited. Same wardrobe/location. Lip-sync Sophia. Continuity of Jacob's arms. | | Sophia (SophiaShirt) clapping her hands excitedly on Jacob's lap in the leather armchair study corner, oversized white shirt, warm lamp, evening. Cruel delight. 1:1. | She claps and leans forward with excited mouth movement delivering the lines; Jacob listens. | Sophia says Jacob can dump Susan. |
| 18 | | Close-up | Static | JACOB: What do you mean? | Jacob; SophiaShirt | StudyCorner (INTERIOR) | Quiet beat | Jacob raises eyebrow. Lip-sync Jacob. Same light from screen-right. | | Close-up of Jacob raising an eyebrow, still holding Sophia (SophiaShirt) in the warm study, evening. Confused intrigue. 1:1. | Subtle head tilt; eyebrow raise; natural mouth movement on the line. | Jacob asks what she means. |
